0,paint
1,paint
2,sailb
3,mouth
4,rifle
5,rifle
6,sailb
7,sailb
8,rifle
9,mouth
10,paint
11,rifle
12,mouth
13,rifle
14,rifle
15,moust
16,paint
17,mouth
18,mouth
19,paint
20,rifle
21,rifle
22,rifle
23,skate
24,rifle
25,rifle
26,rifle
27,mouth
28,rifle
29,mouth
30,rifle
31,rifle
32,rifle
33,rolle
34,rifle
35,mouth
36,rifle
37,rifle
38,rifle
39,mouth
40,pinea
41,rolle
42,paint
43,mouth
44,paint
45,rifle
46,paint
47,rolle
48,rifle
49,rifle
50,mouth
51,rifle
52,paint
53,rolle
54,rolle
55,moust
56,paint
57,mouth
58,mouth
59,rolle
60,rifle
61,sailb
62,mouth
63,mouth
64,mouth
65,mouth
66,mouth
67,rolle
68,paint
69,mouth
70,rifle
71,mouth
72,rifle
73,mouth
74,rifle
75,rifle
76,rifle
77,rifle
78,rifle
79,paint
80,mouth
81,rolle
82,paint
83,rifle
84,rifle
85,mouth
86,moust
87,mouth
88,mouth
89,rifle
90,rifle
91,paint
92,paint
93,paint
94,rifle
95,mouth
96,mouth
97,rifle
98,rifle
99,mouth
100,mouth
101,rifle
102,paint
103,mouth
104,mouth
105,pinea
106,rifle
107,mouth
108,rifle
109,sailb
110,pengu
111,paint
112,mouth
113,paint
114,rifle
115,rifle
116,rifle
117,mouth
118,mouth
119,rifle
120,mouth
121,mouth
122,mouth
123,sailb
124,mouth
125,rifle
126,rifle
127,rifle
128,mouth
129,rifle
130,mouth
131,rifle
132,paint
133,mouth
134,rifle
135,rifle
136,mouth
137,paint
138,paint
139,mouth
140,rolle
141,rifle
142,rifle
143,pengu
144,skull
145,mouth
146,mouth
147,rifle
148,pinea
149,rifle
150,mouth
151,rifle
152,rifle
153,sailb
154,mouth
155,mouth
156,rolle
157,rifle
158,rolle
159,mouth
160,paint
161,rifle
162,mouth
163,rifle
164,rifle
165,paint
166,paint
167,rifle
168,mouth
169,rifle
170,mouth
171,rifle
172,rifle
173,sailb
174,mouth
175,rifle
176,rifle
177,mouth
178,rifle
179,mouth
180,mouth
181,mouth
182,mouth
183,paint
184,skate
185,paint
186,rifle
187,paint
188,mouth
189,mouth
190,paint
191,rifle
192,rolle
193,mouth
194,mouth
195,paint
196,rifle
197,paint
198,mouth
199,sailb
200,rifle
201,mouth
202,mouth
203,mouth
204,mouth
205,rolle
206,paint
207,rifle
208,rifle
209,mouth
210,moust
211,mouth
212,rifle
213,rifle
214,pinea
215,mouth
216,mouth
217,rifle
218,rolle
219,sailb
220,rifle
221,mouth
222,paint
223,rifle
224,rifle
225,mouth
226,mouth
227,skull
228,rolle
229,paint
230,rifle
231,rifle
232,mouth
233,mouth
234,rifle
235,rifle
236,mouth
237,pinea
238,sailb
239,mouth
240,mouth
241,rifle
242,mouth
243,mouth
244,paint
245,mouth
246,rifle
247,rolle
248,rifle
249,mouth
250,paint
251,rifle
252,mouth
253,rifle
254,mouth
255,rifle
256,mouth
257,rifle
258,rifle
259,rifle
260,sailb
261,mouth
262,rifle
263,mouth
264,paint
265,rifle
266,mouth
267,sailb
268,paint
269,mouth
270,mouth
271,rifle
272,rifle
273,rifle
274,mouth
275,mouth
276,rifle
277,mouth
278,pinea
279,mouth
280,paint
281,rifle
282,rifle
283,mouth
284,paint
285,mouth
286,rifle
287,mouth
288,sailb
289,mouth
290,mouth
291,mouth
292,sailb
293,moust
294,rifle
295,mouth
296,rifle
297,rifle
298,sailb
299,paint
300,rifle
301,paint
302,rifle
303,mouth
304,mouth
305,rifle
306,rifle
307,rifle
308,rifle
309,rifle
310,paint
311,rifle
312,rifle
313,paint
314,mouth
315,mouth
316,mouth
317,rolle
318,rifle
319,mouth
320,rifle
321,rifle
322,rifle
